query,prec,rec,size_source,size_target,common
conference_50_0.sparql,1.0,0.8543689320388349,103,88,88
conference_6_0.sparql,1.0,1.0,45,45,45
confOf_47_1.sparql,1.0,0.07817258883248732,985,77,77
cmt_47_0.sparql,1.0,0.005076142131979695,985,5,5
conference_47_2.sparql,1.0,0.09441624365482233,985,93,93
edas_47_3.sparql,1.0,0.9350253807106599,985,921,921
conference_46_0.sparql,1.0,0.040822543792840824,13130,536,536
conference_30_3.sparql,1.0,0.9370212765957446,2350,2202,2202
confOf_30_1.sparql,1.0,0.9370212765957446,2350,2202,2202
edas_30_0.sparql,1.0,0.9370212765957446,2350,2202,2202
confOf_10_0.sparql,1.0,1.0,541,541,541
conference_11_1.sparql,0.7062045164678521,1.0,18826,26658,18826
confOf_11_3.sparql,1.0,0.36837352597471584,18826,6935,6935
cmt_11_2.sparql,1.0,0.9149049187294168,18826,17224,17224
edas_11_0.sparql,1.0,0.36837352597471584,18826,6935,6935
conference_60_0.sparql,1.0,1.0,16,16,16
conference_34_0.sparql,1.0,0.4375,48,21,21
conference_3_0.sparql,1.0,1.0,5,5,5
confOf_7_1.sparql,1.0,1.0,27,27,27
conference_7_0.sparql,1.0,1.0,27,27,27
conference_52_2.sparql,1.0,0.040822543792840824,13130,536,536
edas_52_3.sparql,1.0,0.8332825590251333,13130,10941,10941
cmt_52_1.sparql,0.5,0.8226961157654227,13130,21604,10802
confOf_52_0.sparql,1.0,0.8741051028179742,13130,11477,11477
conference_14_1.sparql,0.0,0.0,47,2155,0
confOf_14_0.sparql,1.0,1.0,47,47,47
edas_51_0.sparql,1.0,0.36837352597471584,18826,6935,6935
cmt_51_1.sparql,1.0,0.9149049187294168,18826,17224,17224
conference_51_2.sparql,0.7062045164678521,1.0,18826,26658,18826
confOf_51_3.sparql,1.0,0.36837352597471584,18826,6935,6935
cmt_31_2.sparql,1.0,1.0,10212,10212,10212
confOf_31_1.sparql,1.0,1.0,10212,10212,10212
conference_31_0.sparql,1.0,1.0,10212,10212,10212
cmt_44_0.sparql,1.0,1.0,2150,2150,2150
edas_42_0.sparql,1.0,1.0,871,871,871
cmt_42_1.sparql,1.0,1.0,871,871,871
confOf_24_0.sparql,1.0,1.0,2155,2155,2155
conference_25_0.sparql,1.0,0.8543689320388349,103,88,88
edas_38_0.sparql,1.0,1.0,5,5,5
confOf_38_1.sparql,1.0,1.0,5,5,5
cmt_63_0.sparql,1.0,0.8450039339103068,1271,1074,1074
conference_63_1.sparql,1.0,0.8450039339103068,1271,1074,1074
confOf_63_2.sparql,1.0,0.8450039339103068,1271,1074,1074
cmt_16_1.sparql,1.0,1.0,2150,2150,2150
confOf_16_0.sparql,1.0,1.0,2150,2150,2150
edas_0_1.sparql,1.0,0.9907381420151558,3563,3530,3530
confOf_0_3.sparql,1.0,0.9988773505472917,3563,3559,3559
cmt_0_2.sparql,1.0,0.988492843109739,3563,3522,3522
conference_0_0.sparql,1.0,0.1372438955936009,3563,489,489
conference_64_0.sparql,1.0,1.0,190,190,190
conference_54_1.sparql,1.0,1.0,10289,10289,10289
cmt_54_2.sparql,1.0,1.0,10289,10289,10289
edas_54_0.sparql,1.0,1.0,10289,10289,10289
edas_13_0.sparql,1.0,1.0,541,541,541
confOf_13_1.sparql,1.0,1.0,541,541,541
confOf_62_2.sparql,1.0,1.0,5,5,5
cmt_62_0.sparql,1.0,1.0,5,5,5
edas_62_3.sparql,1.0,1.0,5,5,5
conference_62_1.sparql,1.0,1.0,5,5,5
edas_33_0.sparql,0.25,0.75,20,60,15
edas_53_1.sparql,0.9345604808414726,0.9953588861326719,12497,13310,12439
cmt_53_0.sparql,0.852628692850778,0.9953588861326719,12497,14589,12439
conference_53_3.sparql,0.7897403419886003,0.9978394814755541,12497,15790,12470
confOf_53_2.sparql,1.0,0.1720412899095783,12497,2150,2150
cmt_66_2.sparql,1.0,1.0,3284,3284,3284
confOf_66_3.sparql,1.0,1.0,3284,3284,3284
conference_66_1.sparql,1.0,1.0,3284,3284,3284
edas_66_0.sparql,1.0,1.0,3284,3284,3284
cmt_22_3.sparql,1.0,1.0,10212,10212,10212
conference_22_0.sparql,1.0,1.0,10212,10212,10212
confOf_22_1.sparql,1.0,1.0,10212,10212,10212
edas_29_0.sparql,1.0,0.9477693144722524,919,871,871
conference_57_0.sparql,1.0,1.0,5,5,5
conference_8_0.sparql,1.0,1.0,304,304,304
confOf_59_0.sparql,1.0,1.0,1178,1178,1178
conference_20_0.sparql,1.0,1.0,11891,11891,11891
cmt_20_1.sparql,1.0,0.8652762593558153,11891,10289,10289
conference_2_3.sparql,1.0,1.0,4351,4351,4351
cmt_2_0.sparql,1.0,1.0,4351,4351,4351
edas_2_1.sparql,1.0,1.0,4351,4351,4351
confOf_2_2.sparql,1.0,1.0,4351,4351,4351
edas_37_1.sparql,1.0,0.6666666666666666,15,10,10
confOf_37_0.sparql,1.0,1.0,15,15,15
edas_56_0.sparql,1.0,0.9477693144722524,919,871,871
edas_58_0.sparql,1.0,0.9477693144722524,919,871,871
conference_18_0.sparql,1.0,1.0,5,5,5
conference_65_0.sparql,1.0,1.0,5,5,5
cmt_32_1.sparql,1.0,1.0,2150,2150,2150
edas_32_0.sparql,1.0,1.0,2150,2150,2150
edas_61_0.sparql,0.8333333333333334,1.0,5,6,5
conference_45_0.sparql,1.0,0.8543689320388349,103,88,88
edas_1_0.sparql,0.25,0.75,20,60,15
cmt_39_3.sparql,1.0,0.9622166246851386,2779,2674,2674
confOf_39_1.sparql,1.0,0.3864699532205829,2779,1074,1074
edas_39_0.sparql,1.0,0.9622166246851386,2779,2674,2674
conference_39_2.sparql,1.0,0.9622166246851386,2779,2674,2674
conference_21_0.sparql,1.0,1.0,5,5,5
conference_48_0.sparql,1.0,1.0,21,21,21
conference_26_1.sparql,1.0,1.0,1300,1300,1300
cmt_23_1.sparql,1.0,1.0,1279,1279,1279
edas_23_0.sparql,1.0,1.0,1279,1279,1279
confOf_36_2.sparql,1.0,0.9988773505472917,3563,3559,3559
edas_36_1.sparql,1.0,0.9907381420151558,3563,3530,3530
cmt_36_0.sparql,1.0,0.988492843109739,3563,3522,3522
conference_41_0.sparql,1.0,1.0,10289,10289,10289
confOf_4_2.sparql,1.0,1.0,45,45,45
edas_4_1.sparql,1.0,1.0,45,45,45
conference_4_0.sparql,1.0,1.0,45,45,45
conference_27_0.sparql,1.0,0.8543689320388349,103,88,88
edas_40_2.sparql,1.0,1.0,2150,2150,2150
confOf_40_0.sparql,1.0,1.0,2150,2150,2150
conference_40_2.sparql,1.0,0.6046511627906976,2150,1300,1300
cmt_40_1.sparql,1.0,1.0,2150,2150,2150
cmt_55_0.sparql,1.0,0.005,1000,5,5
edas_55_2.sparql,1.0,0.936,1000,936,936
confOf_55_3.sparql,0.30976430976430974,0.092,1000,297,92
conference_55_1.sparql,1.0,0.093,1000,93,93
confOf_9_0.sparql,1.0,1.0,5,5,5
conference_9_1.sparql,1.0,1.0,5,5,5
cmt_9_2.sparql,1.0,1.0,5,5,5
conference_35_0.sparql,1.0,1.0,21,21,21
edas_19_1.sparql,1.0,0.991166077738516,566,561,561
confOf_19_2.sparql,1.0,0.991166077738516,566,561,561
conference_19_0.sparql,1.0,0.991166077738516,566,561,561
edas_12_1.sparql,1.0,1.0,5,5,5
confOf_12_0.sparql,1.0,1.0,5,5,5

