pair,total,equivalent,subsumption,overlap,disjoint,empty,,
cmt-conference,4,4,0,0,0,0,1,1
cmt-confOf,,,,,,,,
cmt-edas,,,,,,,,
cmt-ekaw,7,6,0,0,1,0,0.857142857142857,0.857142857142857
conference-cmt,4,4,0,0,0,0,1,1
conference-confOf,,,,,,,,
conference-edas,,,,,,,,
conference-ekaw,11,1,2,0,8,0,0.090909090909091,0.272727272727273
confOf-cmt,,,,,,,,
confOf-conference,,,,,,,,
confOf-edas,,,,,,,,
confOf-ekaw,,,,,,,,
edas-cmt,,,,,,,,
edas-conference,,,,,,,,
edas-confOf,,,,,,,,
edas-ekaw,,,,,,,,
ekaw-cmt,7,6,0,0,1,0,0.857142857142857,0.857142857142857
ekaw-conference,11,1,2,0,8,0,0.090909090909091,0.272727272727273
ekaw-confOf,,,,,,,,
ekaw-edas,,,,,,,,
cmt-conference,4,4,0,0,0,0,1,0
cmt-confOf,1,1,0,0,0,0,1,0
cmt-edas,6,6,0,0,0,0,1,0
cmt-ekaw,7,6,0,0,1,0,0.857142857142857,0.142857142857143
conference-cmt,4,4,0,0,0,0,1,0
conference-confOf,1,0,1,0,0,0,1,0
conference-edas,1,0,0,0,1,0,0,1
conference-ekaw,11,1,2,0,8,0,0.272727272727273,0.727272727272727
confOf-cmt,1,1,0,0,0,0,1,0
confOf-conference,1,0,1,0,0,0,1,0
confOf-edas,4,0,0,0,4,0,0,1
confOf-ekaw,3,0,0,0,3,0,0,1
edas-cmt,6,6,0,0,0,0,1,0
edas-conference,1,0,0,0,1,0,0,1
edas-confOf,4,0,0,0,4,0,0,1
edas-ekaw,8,0,1,0,6,1,0.25,0.75
ekaw-cmt,7,6,0,0,1,0,0.857142857142857,0.142857142857143
ekaw-conference,11,1,2,0,8,0,0.272727272727273,0.727272727272727
ekaw-confOf,3,0,0,0,3,0,0,1
ekaw-edas,8,0,1,0,6,1,0.25,0.75
,92,,,,46,,0.537987012987013,0.471369539551358
,46,,,,23,,,
