pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.241379310344828,0.362068965517241,0.327586206896552,0.413793103448276,0.368217136339556
cmt-confOf,0.4375,0.4375,0.4375,0.5,0.437964252553389
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.217391304347826,0.260869565217391,0.239130434782609,0.347826086956522,0.257629581923193
conference-cmt,0.172413793103448,0.224137931034483,0.275862068965517,0.310344827586207,0.279151893653694
conference-confOf,0.333333333333333,0.466666666666667,0.4,0.466666666666667,0.419690585669211
conference-edas,0.428571428571429,0.5,0.464285714285714,0.535714285714286,0.494838822482865
conference-ekaw,0.214285714285714,0.330357142857143,0.285714285714286,0.428571428571429,0.308955662318588
confOf-cmt,0.4375,0.4375,0.4375,0.5,0.437964252553389
confOf-conference,0.4,0.533333333333333,0.466666666666667,0.533333333333333,0.482713751241619
confOf-edas,0.230769230769231,0.256410256410256,0.243589743589744,0.256410256410256,0.248001502541408
confOf-ekaw,0.290322580645161,0.419354838709678,0.354838709677419,0.483870967741936,0.388886656331848
edas-cmt,0.352941176470588,0.558823529411765,0.5,0.588235294117647,0.472611432669931
edas-conference,0.392857142857143,0.535714285714286,0.517857142857143,0.607142857142857,0.548243638995279
edas-confOf,0.230769230769231,0.269230769230769,0.269230769230769,0.282051282051282,0.267325174038992
edas-ekaw,0.346153846153846,0.384615384615385,0.365384615384615,0.384615384615385,0.372002253812112
ekaw-cmt,0.217391304347826,0.347826086956522,0.282608695652174,0.478260869565217,0.300506827901673
ekaw-conference,0.214285714285714,0.294642857142857,0.267857142857143,0.375,0.279629040831743
ekaw-confOf,0.225806451612903,0.32258064516129,0.274193548387097,0.419354838709678,0.299489814901938
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.305156428773644,0.38690061742384,0.358386214849182,0.435378578656436,0.372110709818825
